CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;08/09/2024;13;1,018;R
ES0022000004433403RW1P;08/09/2024;14;0,533;R
ES0022000004433403RW1P;08/09/2024;15;0,480;R
ES0022000004433403RW1P;08/09/2024;16;0,450;R
ES0022000004433403RW1P;08/09/2024;17;0,423;R
ES0022000004433403RW1P;08/09/2024;18;0,933;R
ES0022000004433403RW1P;08/09/2024;19;0,942;R
ES0022000004433403RW1P;08/09/2024;20;0,601;R
ES0022000004433403RW1P;08/09/2024;21;0,735;R
ES0022000004433403RW1P;08/09/2024;22;0,445;R
ES0022000004433403RW1P;08/09/2024;23;0,214;R
ES0022000004433403RW1P;08/09/2024;24;0,141;R
ES0022000004433403RW1P;09/09/2024;1;0,127;R
ES0022000004433403RW1P;09/09/2024;2;0,132;R
ES0022000004433403RW1P;09/09/2024;3;0,110;R
ES0022000004433403RW1P;09/09/2024;4;0,105;R
ES0022000004433403RW1P;09/09/2024;5;0,116;R
ES0022000004433403RW1P;09/09/2024;6;0,113;R
ES0022000004433403RW1P;09/09/2024;7;0,106;R
ES0022000004433403RW1P;09/09/2024;8;0,189;R
ES0022000004433403RW1P;09/09/2024;9;0,106;R
ES0022000004433403RW1P;09/09/2024;10;0,265;R
ES0022000004433403RW1P;09/09/2024;11;1,075;R
ES0022000004433403RW1P;09/09/2024;12;0,699;R
ES0022000004433403RW1P;09/09/2024;13;0,188;R
ES0022000004433403RW1P;09/09/2024;14;0,353;R
ES0022000004433403RW1P;09/09/2024;15;0,527;R
ES0022000004433403RW1P;09/09/2024;16;0,326;R
ES0022000004433403RW1P;09/09/2024;17;0,347;R
ES0022000004433403RW1P;09/09/2024;18;0,257;R
ES0022000004433403RW1P;09/09/2024;19;0,246;R
ES0022000004433403RW1P;09/09/2024;20;0,338;R
ES0022000004433403RW1P;09/09/2024;21;1,347;R
ES0022000004433403RW1P;09/09/2024;22;0,961;R
ES0022000004433403RW1P;09/09/2024;23;0,699;R
ES0022000004433403RW1P;09/09/2024;24;0,337;R
ES0022000004433403RW1P;10/09/2024;1;0,233;R
ES0022000004433403RW1P;10/09/2024;2;0,194;R
ES0022000004433403RW1P;10/09/2024;3;0,131;R
ES0022000004433403RW1P;10/09/2024;4;0,128;R
ES0022000004433403RW1P;10/09/2024;5;0,123;R
ES0022000004433403RW1P;10/09/2024;6;0,114;R
ES0022000004433403RW1P;10/09/2024;7;0,121;R
ES0022000004433403RW1P;10/09/2024;8;0,131;R
ES0022000004433403RW1P;10/09/2024;9;0,355;R
ES0022000004433403RW1P;10/09/2024;10;0,218;R
ES0022000004433403RW1P;10/09/2024;11;0,151;R
ES0022000004433403RW1P;10/09/2024;12;0,344;R
ES0022000004433403RW1P;10/09/2024;13;0,236;R
ES0022000004433403RW1P;10/09/2024;14;0,642;R
ES0022000004433403RW1P;10/09/2024;15;0,687;R
ES0022000004433403RW1P;10/09/2024;16;0,351;R
ES0022000004433403RW1P;10/09/2024;17;0,486;R
ES0022000004433403RW1P;10/09/2024;18;0,344;R
ES0022000004433403RW1P;10/09/2024;19;0,761;R
ES0022000004433403RW1P;10/09/2024;20;1,002;R
ES0022000004433403RW1P;10/09/2024;21;1,099;R
ES0022000004433403RW1P;10/09/2024;22;0,636;R
ES0022000004433403RW1P;10/09/2024;23;1,162;R
ES0022000004433403RW1P;10/09/2024;24;0,679;R
ES0022000004433403RW1P;11/09/2024;1;0,152;R
ES0022000004433403RW1P;11/09/2024;2;0,132;R
ES0022000004433403RW1P;11/09/2024;3;0,117;R
ES0022000004433403RW1P;11/09/2024;4;0,115;R
ES0022000004433403RW1P;11/09/2024;5;0,113;R
ES0022000004433403RW1P;11/09/2024;6;0,113;R
ES0022000004433403RW1P;11/09/2024;7;0,127;R
ES0022000004433403RW1P;11/09/2024;8;0,201;R
ES0022000004433403RW1P;11/09/2024;9;0,438;R
ES0022000004433403RW1P;11/09/2024;10;0,326;R
ES0022000004433403RW1P;11/09/2024;11;0,404;R
ES0022000004433403RW1P;11/09/2024;12;0,427;R
ES0022000004433403RW1P;11/09/2024;13;0,447;R
ES0022000004433403RW1P;11/09/2024;14;0,678;R
ES0022000004433403RW1P;11/09/2024;15;1,176;R
